"","employees","salaries_2017","salaries_adjustment","salarie_2018","salaries_rise"
"1","Employee 1",40359.6376697533,7759.76549484767,48119.403164601,TRUE
"2","Employee 2",42470.7712815143,7246.02181930095,49716.7931008153,TRUE
"3","Employee 3",49295.8999588154,3096.77925775759,52392.679216573,TRUE
"4","Employee 4",40156.2030962668,4755.97118260339,44912.1742788702,TRUE
"5","Employee 5",49321.0623180494,4963.487861678,54284.5501797274,TRUE
"6","Employee 6",40404.5002069324,-4372.61694343761,36031.8832634948,FALSE
"7","Employee 7",45297.7065509185,6211.6858176887,51509.3923686072,TRUE
"8","Employee 8",48485.5879703537,-4724.74299720488,43760.8449731488,FALSE
"9","Employee 9",42518.9413642511,-2575.30461996794,39943.6367442831,FALSE
"10","Employee 10",40091.6845374741,8298.13370015472,48389.8182376288,TRUE
"11","Employee 11",47260.3122168221,5528.94738386385,52789.2596006859,TRUE
"12","Employee 12",44579.4702600688,7369.32105384767,51948.7913139164,TRUE
"13","Employee 13",45606.9610174745,1955.90970339254,47562.8707208671,TRUE
"14","Employee 14",48845.9308585152,594.271066365764,49440.201924881,TRUE
"15","Employee 15",49768.0615959689,-52.9138068668544,49715.147789102,FALSE
"16","Employee 16",47743.0330845527,6105.90731026605,53848.9403948188,TRUE
"17","Employee 17",48848.2934935018,-1856.39365692623,46991.8998365756,FALSE
"18","Employee 18",42924.0876296535,9902.73806848563,52826.8256981391,TRUE
"19","Employee 19",41279.2537850328,387.994182528928,41667.2479675617,TRUE
"20","Employee 20",43852.4299999699,1668.16493612714,45520.594936097,TRUE
"21","Employee 21",45895.8087163046,-1620.10756204836,44275.7011542562,FALSE
"22","Employee 22",42379.6232719906,-3977.19206288457,38402.431209106,FALSE
"23","Employee 23",43499.783212319,8406.10751882195,51905.890731141,TRUE
"24","Employee 24",45461.6969963536,-2009.44537180476,43452.2516245488,FALSE
"25","Employee 25",41403.9141475223,7973.47067622468,49377.384823747,TRUE
"26","Employee 26",43594.7856470011,-848.223156062886,42746.5624909382,FALSE
"27","Employee 27",47653.9029204287,3412.81922417693,51066.7221446056,TRUE
"28","Employee 28",42734.6759685315,8368.75477922149,51103.430747753,TRUE
"29","Employee 29",41147.1352679655,7467.47259516269,48614.6078631282,TRUE
"30","Employee 30",45768.767518457,-766.587858088315,45002.1796603687,FALSE
"31","Employee 31",48999.3227389641,-2317.14152032509,46682.181218639,FALSE
"32","Employee 32",46121.6368316673,1072.27315776981,47193.9099894371,TRUE
"33","Employee 33",44563.4911255911,9265.34541300498,53828.8365385961,TRUE
"34","Employee 34",45342.2364639118,132.849552901462,45475.0860168133,TRUE
"35","Employee 35",44182.3392850347,-340.38781770505,43841.9514673296,FALSE
"36","Employee 36",49401.1242478155,2337.25339872763,51738.3776465431,TRUE
"37","Employee 37",46383.4086735733,-2587.59259129874,43795.8160822745,FALSE
"38","Employee 38",43025.8318735287,1665.96272028983,44691.7945938185,TRUE
"39","Employee 39",47050.8837024681,4449.6490759775,51500.5327784456,TRUE
"40","Employee 40",42688.7180120684,-3906.11673006788,38782.6012820005,FALSE
"41","Employee 41",44705.8190847747,4154.87635531463,48860.6954400893,TRUE
"42","Employee 42",46103.5589012317,8411.63880657405,54515.1977078058,TRUE
"43","Employee 43",48312.0402181521,7793.57418767177,56105.6144058239,TRUE
"44","Employee 44",44841.8508865871,-3167.53079998307,41674.320086604,FALSE
"45","Employee 45",41593.6254407279,6850.23394296877,48443.8593836967,TRUE
"46","Employee 46",42312.9023821093,-1563.40535613708,40749.4970259722,FALSE
"47","Employee 47",44573.2742431574,521.13473881036,45094.4089819677,TRUE
"48","Employee 48",45062.6339809969,-709.371827542782,44353.2621534541,FALSE
"49","Employee 49",41210.3087524883,4259.98056307435,45470.2893155627,TRUE
"50","Employee 50",49048.6491145566,-764.349449891597,48284.299664665,FALSE
"51","Employee 51",48949.6835507452,-4170.29695701785,44779.3865937274,FALSE
"52","Employee 52",42436.7281282321,364.537908462808,42801.2660366949,TRUE
"53","Employee 53",42828.5930375569,-1362.77036974207,41465.8226678148,FALSE
"54","Employee 54",46605.6818328798,8703.68257164955,55309.3644045293,TRUE
"55","Employee 55",46548.3462158591,5356.60788998939,51904.9541058484,TRUE
"56","Employee 56",40915.9862576053,9540.58259958401,50456.5688571893,TRUE
"57","Employee 57",42722.1301780082,-2532.23226871341,40189.8979092948,FALSE
"58","Employee 58",47685.4513748549,4787.30984730646,52472.7612221614,TRUE
"59","Employee 59",47772.8839218616,-4322.5409288425,43450.3429930191,FALSE
"60","Employee 60",49536.5434302948,7740.90429884382,57277.4477291387,TRUE
"61","Employee 61",46918.9296616241,4712.5128202606,51631.4424818847,TRUE
"62","Employee 62",49048.4342747368,5124.96227864176,54173.3965533786,TRUE
"63","Employee 63",47750.7267985493,-3872.6075226441,43878.1192759052,FALSE
"64","Employee 64",41352.2253208794,-3248.62413457595,38103.6011863034,FALSE
"65","Employee 65",44755.0971992314,1775.02401405945,46530.1212132908,TRUE
"66","Employee 66",49967.2296619974,475.354858208448,50442.5845202059,TRUE
"67","Employee 67",41196.5414159931,9300.47938949428,50497.0208054874,TRUE
"68","Employee 68",40394.9262644164,1722.90020622313,42117.8264706396,TRUE
"69","Employee 69",43075.911430642,2262.66349898651,45338.5749296285,TRUE
"70","Employee 70",45106.6305465065,-62.5873543322086,45044.0431921743,FALSE
"71","Employee 71",45039.3617199734,6209.79455299675,51249.1562729701,TRUE
"72","Employee 72",41055.40511664,9307.6557549648,50363.0608716048,TRUE
"73","Employee 73",45824.6784191579,4405.60747985728,50230.2858990151,TRUE
"74","Employee 74",42433.0396205187,-2638.84614803828,39794.1934724804,FALSE
"75","Employee 75",41214.987563435,9318.09951551259,50533.0870789476,TRUE
"76","Employee 76",49290.4638964683,9078.88930640183,58369.3532028701,TRUE
"77","Employee 77",40530.7482369244,9538.10627106577,50068.8545079902,TRUE
"78","Employee 78",41336.4663161337,3852.29197680019,45188.7582929339,TRUE
"79","Employee 79",41992.5326341763,-400.206582853571,41592.3260513227,FALSE
"80","Employee 80",46480.8793063276,9499.01086045429,55979.8901667818,TRUE
"81","Employee 81",44584.2379587702,8429.27814112045,53013.5160998907,TRUE
"82","Employee 82",48795.4539409839,9967.04731951468,58762.5012604985,TRUE
"83","Employee 83",47753.1419554725,5346.98164789006,53100.1236033626,TRUE
"84","Employee 84",47671.15423223,7916.70209961012,55587.8563318402,TRUE
"85","Employee 85",47398.0529583059,5218.64710724913,52616.7000655551,TRUE
"86","Employee 86",43713.0475277081,-1577.74427789263,42135.3032498155,FALSE
"87","Employee 87",41037.8178278916,4460.64521092921,45498.4630388208,TRUE
"88","Employee 88",45918.8105608337,5862.22112644464,51781.0316872783,TRUE
"89","Employee 89",43133.3880731836,4559.79212070815,47693.1801938917,TRUE
"90","Employee 90",43370.6142543815,5865.60381460004,49236.2180689815,TRUE
"91","Employee 91",43595.246875193,1497.24740767851,45092.4942828715,TRUE
"92","Employee 92",48174.0118609741,2928.52176818997,51102.5336291641,TRUE
"93","Employee 93",49052.9934107326,7599.98995345086,56652.9833641835,TRUE
"94","Employee 94",48731.2438944355,5811.38756591827,54542.6314603537,TRUE
